Date,Article Class,Article Titles,List of Article Author Names
2019-Sep,Review Article,Progressive pseudorheumatoid dysplasia: a report of three cases and a review of radiographic and magnetic resonance imaging findings,Christy B. PomeranzJanet R. Reid
2019-Sep,Abstract,"Annual Scientific Meeting Abstracts of the Australasian Musculoskeletal Imaging Group (AMSIG) 2019, Queenstown, New Zealand",
2019-Sep,Scientific Article,Image intensifier distortion influences a surgeon’s ability to aim guidewires during orthopaedic procedures,Thomas R. WardBen SchwarzPaul N. Smith
2019-Sep,Abstract,"Annual Meeting Abstracts of the International Skeletal Society (ISS) 2019, Vancouver, Canada",
2019-Oct,Scientific Article,Efficiency of knee ultrasound for diagnosing anterior cruciate ligament and posterior cruciate ligament injuries: a systematic review and meta-analysis,Sun Hwa LeeSeong Jong Yun
2019-Oct,Review Article,Thinking beyond pannus: a review of retro-odontoid pseudotumor due to rheumatoid and non-rheumatoid etiologies,Junzi ShiJoerg ErmannJacob C. Mandell
2019-Oct,Review Article,Review article: the differential diagnosis of bone marrow edema on wrist MRI,WanYin LimAsif Saifuddin
2019-Oct,Review Article,"MR imaging of the postsurgical cubital tunnel: an imaging review of the cubital tunnel, cubital tunnel syndrome, and associated surgical techniques",Nicholas G. RhodesBenjamin M. HoweSteven L. Moran
2019-Oct,Scientific Article,Small soft tissue masses indeterminate at imaging: histological diagnoses at a tertiary orthopedic oncology clinic,Kevin PhamNisreen S. EzuddinTy K. Subhawong
2019-Oct,Scientific Article,Detection of aseptic loosening in total knee replacements: a systematic review and meta-analysis,Lara BarnsleyLes Barnsley
2019-Oct,Scientific Article,Characterization of intramuscular calf vein thrombosis on routine knee MRI,David P. DuncanMichael TaddonioBrady K. Huang
2019-Oct,Scientific Article,Influence of the ankle position and X-ray beam angulation on the projection of the posterior facet of the subtalar joint,Amy L. LenzNicola KrähenbühlAlexej Barg
2019-Oct,Scientific Article,Normal Pacinian corpuscles in the hand: radiology–pathology correlation in a cadaver study,Nicholas G. RhodesNaveen S. MurthyDavid A. Rubin
2019-Oct,Review Article,The diagnostic accuracy of imaging modalities to detect pseudarthrosis after spinal fusion—a systematic review and meta-analysis of the literature,Marloes J. M. PetersCarolien H. G. BastiaenenPaul C. Willems
2019-Oct,Technical Report,Coracoid stress fracture in an elite fast bowler: description of a technique for CT-guided percutaneous screw fixation of coracoid fractures,Graeme ThompsonAndrew Van Den Heever
2019-Oct,Test Yourself: Question,Professional soccer player with an in-game ankle injury,A. IqbalE. McLoughlinS. L. James
2019-Oct,Case Report,Osteoblastoma of the clavicle at the site of a previous fracture—first case report and review of the literature,Adriana C. MoreiraDavid I. SusterConnie Y. Chang
2019-Oct,Case Report,A rare case of type 2 entrapment of the median nerve after posterior elbow dislocation with MRI and ultrasound correlation,Patrick K. O’CallaghanKyle FreemanRobert F. Murphy
2019-Oct,Case Report,Myoepithelial carcinoma of tibia mimic giant cell tumor: a case report with emphasis on MR features,Chien-Hung LinKun-Yu WuTsyh-Jyi Hsieh
2019-Oct,Case Report,Upper extremity myxofibrosarcoma mimicking an erosive inflammatory arthritis: a case report,Ceylan ColakScott E. KilpatrickCarl S. Winalski
2019-Oct,Case Report,Congenital bilateral absence of the semimembranosus muscles,A. Ross Sussmann
2019-Oct,Test Yourself: Answer,Professional player with an in-game ankle injury,A. IqbalE. McLoughlinS. L. James
2019-Oct,Browser's Notes,Browser’s notes,
2019-Oct,Technical Report,Dual steristrip technique: a novel use of steristrips to reduce operator radiation dose during CT-guided intervention,E. McLoughlinA. IqbalRajesh Botchu
2019-Oct,Review Article,Current peri-operative imaging concepts surrounding shoulder arthroplasty,Travis J. DekkerJ. R. SteeleG. E. Garrigues
2019-Nov,Review Article,Pearls and pitfalls of fluoroscopic-guided foot and ankle injections: what the radiologist needs to know,Barry G. HansfordMegan K. MillsCorrie M. Yablon
2019-Nov,Test Yourself: Answer,Test yourself answer: painful knee swelling,Akarshan MongaAndrew RosenbergTy K. Subhawong
2019-Nov,Browser’s notes,Browser’s notes,
2019-Nov,Review Article,Sonographic landmarks in hamstring muscles,Ramon BaliusCarles PedretLuis Cerezal
2019-Nov,Review Article,Magnetic resonance imaging of the quadriceps tendon autograft in anterior cruciate ligament reconstruction,Christopher P. EmersonJessica M. BernsteinJean Jose
2019-Nov,Scientific Article,Treatment-related alterations of imaging findings in osteoid osteoma after percutaneous radiofrequency ablation,Gonca ErbaşHalit Nahit ŞendurErhan Turgut Ilgit
2019-Nov,Scientific Article,Diffusion tensor imaging of diabetic amyotrophy,Rocco HlisFeng PohAvneesh Chhabra
2019-Nov,Scientific Article,Diagnostic accuracy of imaging modalities in the detection of clinically diagnosed de Quervain’s syndrome: a systematic review,Brodwen McBainEbonie RioSean Docking
2019-Nov,Scientific Article,18F-FDG PET-CT versus MRI for detection of skeletal metastasis in Ewing sarcoma,S. E. BosmaD. VriensJ. L. Bloem
2019-Nov,Scientific Article,Increased signal in the proximal patellar tendon: normal or pathologic?,Elizabeth S. LevinBenjamin PlotkinLeanne L. Seeger
2019-Nov,Scientific Article,The lateral patellar retinaculum defect: anatomical study using ultrasound,Antoine MorauxStefano BianchiThomas Le Corroller
2019-Nov,Scientific Article,Diagnostic accuracy of MRI for detection of tears and instability of proximal long head of biceps tendon: an evaluation of 100 shoulders compared with arthroscopy,Eduardo BaptistaEduardo A. MalavoltaNestor de Barros
2019-Nov,Case Report,"Epithelioid schwannoma: imaging findings on radiographs, MRI, and ultrasound",Hillary W. GarnerBenjamin K. WilkeJoseph M. Bestic
2019-Nov,Scientific Article,Evaluation of giant cell tumors by diffusion weighted imaging–fractional ADC analysis,Oganes AshikyanM. ChalianA. Chhabra
2019-Nov,Scientific Article,CT radiation dose reduction in patients with total hip arthroplasties using model-based iterative reconstruction and orthopaedic metal artefact reduction,Ruud H. H. WellenbergJochen A. C. van OschMartijn F. Boomsma
2019-Nov,Scientific Article,Validity of the alpha angle measurements on plain radiographs in the evaluation of cam-type femoroacetabular impingement in patients with slipped capital femoral epiphysis,Hanifi UcpunarMuhammed MertHakan Sofu
2019-Nov,Scientific Article,Bony changes of the tibia secondary to pes anserine bursitis mimicking neoplasm,Ceylan ColakHakan IlaslanMurali Sundaram
2019-Nov,Technical Report,Ultrasound-guided percutaneous release of the carpal tunnel: comparison of the learning curves of a senior versus a junior operator. A cadaveric study,Chloé DekimpeOlivier AndreaniNicolas Amoretti
2019-Nov,Test Yourself: Question,Test yourself: question and answer question: painful knee swelling,Akarshan MongaAndrew RosenbergTy K. Subhawong
2019-Nov,Scientific Article,Full-spine radiographs: what others are reporting—a survey of Society of Skeletal Radiology members,Takashi TakahashiDavid PollyChristopher T. Martin
2019-Nov,Case Report,Lateral foot pain due to os vesalianum pedis in a young football player; a case report and review of the current literature,Faruk AykanatCornelis VincentenMuzaffer Sindel
2019-Dec,Scientific Article,Reduction of unnecessary repeat knee radiographs during osteoarthrosis follow-up visits in a large teaching medical center,Oganes AshikyanD. C. BullerA. Chhabra
2019-Dec,Scientific Article,Dual-layer spectral computerized tomography for metal artifact reduction: small versus large orthopedic devices,Christos KosmasMojgan HojjatiPrabhakar Rajiah
2019-Dec,Scientific Article,Incidence and implications of fracture in core muscle injury,Joseph A. DelicAndrew B. RossKaitlin Woo
2019-Dec,Case Report,Spinal blastomycosis: unusual musculoskeletal presentation with literature review,Seyed EmamianMichael G. FoxNicholas C. Nacey
2019-Dec,Case Report,Camptodactyly resulting from anatomical variation of lumbrical muscles: imaging findings,Alexander FavrilFilip VanhoenackerTjeerd Jager
2019-Dec,Case Report,Intra-articular extra-axial chordoma of the wrist: a case report with review of the current literature,Jan NeumannAlexandra S. GersingKlaus Woertler
2019-Dec,Scientific Article,"Subchondral insufficiency fracture of the knee: grading, risk factors, and outcome",Samia SayyidYara YounanFelix M. Gonzalez
2019-Dec,Technical Report,Motion compensation in extremity cone-beam computed tomography,Alejandro SisniegaGaurav K. ThawaitWojciech Zbijewski
2019-Dec,Scientific Article,Longitudinal MRI structural findings observed in accelerated knee osteoarthritis: data from the Osteoarthritis Initiative,Sarah C. ForemanJan NeumannThomas M. Link
2019-Dec,Review Article,The Dixon technique for MRI of the bone marrow,Niels van VuchtRodney SantiagoAsif Saifuddin
2019-Dec,Scientific Article,Ultrasound localization of lacerated flexor tendon ends in the hand: a cadaveric study,David A. AlvarezDavid H. BallardAlberto A. Simoncini
2019-Dec,Scientific Article,Imaging evaluation of polyethylene liner dissociation in total hip arthroplasty,Yoshimi EndoChristian GeannetteWilliam T. Chang
2019-Dec,Scientific Article,Change in MRI findings of medial collateral ligament injury in adolescent baseball players with no clinical symptoms over time,Takeshi MakiharaYoshikazu OkamotoMasashi Yamazaki
2019-Dec,Scientific Article,"Comparison of PSMA-PET/CT, choline-PET/CT, NaF-PET/CT, MRI, and bone scintigraphy in the diagnosis of bone metastases in patients with prostate cancer: a systematic review and meta-analysis",Jing ZhouZhengxing GouYigang Zhao
2019-Dec,Scientific Article,Is fat suppression in T1 and T2 FSE with mDixon superior to the frequency selection-based SPAIR technique in musculoskeletal tumor imaging?,Willemijn H. F. HuijgenCatherina S. P. van RijswijkJohan L. Bloem
2019-Dec,Scientific Article,A new radiographic view of the scaphotrapeziotrapezoid joint—a cadaveric study,Arthur TurowJoideep PhadnisGregory I. Bain
2019-Dec,Scientific Article,Radiographic signs of hook of hamate fracture: evaluation of diagnostic utility,Jayden SpencerSuzanne L. HuntBrian Everist
2019-Dec,Review Article,Calcified or ossified benign soft tissue lesions that may simulate malignancy,Robert M. KweeThomas C. Kwee
2019-Dec,Review Article,Clinical utility of virtual noncalcium dual-energy CT in imaging of the pelvis and hip,Francis I. BaffourKatrina N. GlazebrookCynthia H. McCollough
2019-Dec,Correction,Correction to: Ultrasound localization of lacerated flexor tendon ends in the hand: a cadaveric study,David A. AlvarezDavid H. BallardAlberto A. Simoncini
2019-Dec,Review Article,Imaging of the post-operative medial elbow in the overhead thrower: common and abnormal findings after ulnar collateral ligament reconstruction and ulnar nerve transposition,Steven P. DanielsDouglas N. MintzDarryl B. Sneag
